,title,company,summary
0,Junior Data Analyst - Weber Shandwick (Powered by Qureos),Qureos,"Ability to collect data from multiple sources, generate relevant data for analysis, and to interpret collected data using statistical tools.PostedPosted 20 days ago·More...View all Qureos jobs - Dubai jobsSalary Search: Junior Data Analyst - Weber Shandwick (Powered by Qureos) salaries in Dubai"
1,Data Analyst,Hiring organization,Do data mining and modelling to create data modelling and analyses of both structured and unstructured data.CRM packaged software Data warehouse and data lakes…PostedPosted 30+ days ago·More...View all Hiring organization jobs - Dubai jobsSalary Search: Data Analyst salaries in Dubai
2,2023 Corporate & Investment Bank - Investment Banking Analys...,"JPMorgan Chase Bank, N.A.","Analysing market data, building detailed financial models and preparing client presentations for mergers and acquisitions, leveraged buyouts and capital markets…PostedPosted 26 days ago·More...View all JPMorgan Chase Bank, N.A. jobs - Dubai jobsSalary Search: 2023 Corporate & Investment Bank - Investment Banking Analyst Program - Off-Cycle Internship (January-June) - Dubai salaries in DubaiSee popular questions & answers about JPMorgan Chase Bank, N.A."
3,Data Analyst and BI Professional,farnek.com,"Good background in the analysis of employee data and be able to produce reports from the system which are relevant to the company in terms of productivity, cost…PostedPosted 30+ days ago·More...View all farnek.com jobs - Dubai jobsSalary Search: Data Analyst and BI Professional salaries in Dubai"
4,Analyst – Trade Operations,Barclays,"The trade operations team manages the day to day functioning of Trade and Working capital requirement of Corporate, FI and NBFI clients by offering various…PostedPosted 3 days ago·More...View all Barclays jobs - Dubai jobsSalary Search: Analyst – Trade Operations salaries in DubaiSee popular questions & answers about Barclays"
5,Business Intelligence Analyst (Based in Dubai),Ingram Micro,"You are going to handle data management skills such as analysis, data quality, maintenance, and master data cleanup.You will analyze and interpret trends.PostedPosted 2 days ago·More...View all Ingram Micro jobs - Dubai jobsSalary Search: Business Intelligence Analyst (Based in Dubai) salaries in DubaiSee popular questions & answers about Ingram Micro"
6,Financial Analyst,pladis,Coordinate with respective departments to manage all the data sets for timely and accurate financial analysis and reporting.PostedPosted 7 days ago·More...View all pladis jobs - Dubai jobsSalary Search: Financial Analyst salaries in Dubai
7,Supply Chain Analyst,Bacardi,Compile and analyze data & review past sales data to determine trends & improve forecast bias of customers.High level of detail-orientation and data accuracy.PostedPosted 30+ days ago·More...View all Bacardi jobs - Dubai jobsSalary Search: Supply Chain Analyst salaries in Dubai
8,Data Analyst Lead - Binance (Powered by Qureos),Qureos,"Analyze and interpret large (PB-scale) volumes of transactional, operational and customer data using proprietary and open source data tools, platforms and…PostedPosted 20 days ago·More...View all Qureos jobs - Dubai jobsSalary Search: Data Analyst Lead - Binance (Powered by Qureos) salaries in Dubai"
9,FINANCIAL/BUSINESS ANALYST,SSC Perfumes & Cosmetics,Develop the brand analysis reporting suite based on data.Systems & data management experience in a finance/commercial environment.PostedPosted 24 days ago·More...View all SSC Perfumes & Cosmetics jobs - Dubai jobsSalary Search: FINANCIAL/BUSINESS ANALYST salaries in DubaiSee popular questions & answers about SSC Perfumes & Cosmetics
